ID,projectcode,name,client,startdate,enddate,budget,status
d290f1ee-6c54-4b01-90e6-d701748f0851,P001,Timesheet Automation,TCS,2026-01-01,2026-12-31,500000.000,Active
6ba7b810-9dad-11d1-80b4-00c04fd430c8,P002,HR Portal,Infosys,2026-02-01,2026-11-30,300000.000,Planned
16fd2706-8baf-433b-82eb-8c7fada847da,P003,E-Commerce Platform,Wipro,2026-03-15,2026-10-15,750000.000,InProgress
550e8400-e29b-41d4-a716-446655440000,P004,Banking Dashboard,HCL,2026-04-01,2026-09-30,420000.000,Active
f47ac10b-58cc-4372-a567-0e02b2c3d479,P005,Inventory System,Cognizant,2026-05-01,2026-12-15,280000.000,Planned
c9bf9e57-1685-4c89-bafb-ff5af830be8a,P006,Learning Management System,Accenture,2026-01-20,2026-08-20,610000.000,InProgress
7c9e6679-7425-40de-944b-e07fc1f90ae,P007,Healthcare App,Tech Mahindra,2026-06-01,2027-01-31,900000.000,Active
9f8c7d6e-5b4a-4321-9876-abcdef123456,P008,Travel Booking Portal,Capgemini,2026-02-10,2026-11-10,350000.000,Completed
3fa85f64-5717-4562-b3fc-2c963f66afa1,P009,Payroll Management,IBM,2026-03-01,2026-12-01,470000.000,OnHold
1b4e28ba-2fa1-11d2-883f-0016d3cca427,P010,CRM Modernization,Deloitte,2026-07-01,2027-03-31,1000000.000,Cancelled
